publishedAt,description,content,sector
2025-01-22T03:21:16Z,"중소벤처기업부는 CES 2025에서 혁신상을 수상한 기업들과 간담회를 열고, 글로벌 혁신 기술 트렌드를 공유하며 기업들의 성과를 축하했다. 한국 기업은 CES 혁신상에서 역대 최다 수상 실적을 기록했으며, 중소벤처기업이 85%를 차지했다.
The post 중기부 “한국기업 ‘CES 2025’서 151개 혁신상 수상, 중소벤처기업이 85%” appeared first on 벤처스퀘어.","( , ) 21 (GSC) CES 2025 K- .
 1 7 1 10() CES 2025 (Innovation Awards) , CES .
CES 20 K- CES 2025 50 , CES . CES 2025 CES .
 CES , 151 208 . , 1 CES 2025 458 45.4% . 131.
 ( 149) 12, 10, 127, 85% … [+9591 chars]",Tech
2025-01-15T03:11:08Z,"베슬AI는 15일, 지난 1월 7일부터 10일까지 미국 라스베이거스에서 열린 CES 2025에 참가해 AI 에이전트 기술을 선보였다고 밝혔다.
The post 베슬에이아이, ‘CES 2025’ 참가 appeared first on 벤처스퀘어.","AI(VESSL AI) 15, 1 7 10 CES 2025 AI .
 CES 2025 ‘AI ’ , AI . AI K- VESSL .
AI MLOps AI , AI . , , 30% .
 CES , AI 130 . , GPU . , (PoC) .
AI “ CES 2025 AI , ”, “ AI , AI AI ” .
https://www.ventu… [+4536 chars]",Tech
2025-02-12T17:17:11Z,A big bet on open-source technology has enabled China to rapidly scale its AI innovation while Silicon Valley remains limited by corporate structures.,"Lightspring/Shutterstock
We are in the early days of a seismic shift in the global AI industry. DeepSeek, a previously little-known Chinese artificial intelligence company, has produced a “game chan… [+32773 chars]",Tech
2025-02-01T10:00:02Z,The sudden success of the Chinese AI startup took the tech world by surprise. Newsweek explores the impact on the U.S.'s lead in the industry,"Chinese startup DeepSeek has sent shock waves through the artificial intelligence world and created a headache for the United States.
Its AI assistant overtook Western rival ChatGPT on January 27 to… [+11438 chars]",Tech
2025-02-13T09:56:00Z,"CashU, a pioneer in Brazil in the B2B credit modality based on artificial intelligence, launches its own Credit Rights Investment Fund (FIDC), with a value of R$ 100 million, to finance its operations.","CashU, a pioneer in Brazil in the B2B credit modality based on artificial intelligence, launches its own Credit Rights Investment Fund (FIDC), with a value of R$ 100 million, to finance its operation… [+4331 chars]",Tech
2025-01-27T10:40:53Z,China's DeepSeek sparks AI market rout,LONDON (Reuters) - Technology shares around the world slid on Monday as a surge in popularity of a Chinese discount artificial intelligence model shook investors' faith in the AI sector's voracious d… [+5084 chars],Tech
2025-02-05T06:01:25Z,"Total Assets Under Management (AUM) Reaches 1 Billion USD, Contributing to Sustainable Growth with a World-Class Investment Scale TOKYO — Hitachi, Ltd. (TSE: 6501, “Hitachi”) today announced the establishment of the fourth fund of the corporate venture capita…","Author of the article:
Article content
Total Assets Under Management (AUM) Reaches 1 Billion USD, Contributing to Sustainable Growth with a World-Class Investment Scale
TOKYO Hitachi, Ltd. (TSE: 6… [+11279 chars]",Tech
2025-02-07T16:39:00Z,"The global paresthesia treatment market is growing due to rising neurological disorders, tech advancements, and demand for pain management. This report offers key insights, trends, and competitive analysis. The global paresthesia treatment market is growing d…","Wilmington, Delaware, United States, Transparency Market Research Inc. , Feb. 07, 2025 (GLOBE NEWSWIRE) -- The Global Paresthesia Treatment Market is experiencing substantial growth, driven by the in… [+10117 chars]",Tech
2025-01-28T21:45:36Z,The emergence of DeepSeek is pressure-testing Zuckerberg’s strategy and threatening the home-grown AI advantage for the U.S. Read more here,"'If there should be an open-source model that everyone uses, we should want it to be an American model'
Author of the article:
DeepSeeks ascent underlines one of the AI industrys greatest debates: … [+10923 chars]",Tech
2025-02-05T10:37:01Z,"Ahead of GIM 2025, Karnataka’s Industries Minister MB Patil talks to Business Today about the state’s start-up ecosystem, investment landscape, and global investor sentiment.","Karnataka, often referred to as the land of sandalwood for its rich reserves of high-quality sandalwood and home to Indias only active gold mines, has long been an economic powerhouse. At its heart l… [+11504 chars]",Tech
2025-02-13T10:23:58Z,"ITB Berlin is setting the pace shortly before the trade show begins: with 95 per cent of the display area already booked, a record number of international exhibitors from 165 countries as well as strong growth in key travel segments, the World's Leading Trave…","ITB Berlin is setting the pace shortly before the trade show begins: with 95 per cent of the display area already booked, a record number of international exhibitors from 165 countries as well as str… [+15465 chars]",Tech
2025-01-16T06:15:00Z,A staff exchange between regulators will see US and UK financial technology experts cross the Atlantic,"Financial services regulators in the UK and New York are to share staff through a secondment programme that kicks off next month.
The New York Department of Financial Services and the Bank of Englan… [+3853 chars]",Tech
2025-01-22T18:33:00Z,"The OpenAI-Oracle-Softbank collaboration highlights the U.S.'s determination to maintain its lead AI technology. However, some question OpenAI’s lead and involvement.","The new data center-based U.S. infrastructure project for AI technology introduced by President Trump and OpenAI met with enthusiasm and criticism, including concern about the plans costs, massive co… [+5325 chars]",Tech
2025-01-28T10:04:50Z,"DeepSeek: China’s DeepsSeek AI has taken the world by storm, showing its potential to compete against AI chatbot giants like GPT. However, when DeepSeek was asked about crucial topics such as Arunachal Pradesh, Indo-Sino War, Tiananmen Square, DeepSeek's answ…",China's AI startup DeepSeek has created a buzz on the internet. DeepSeek was the most downloaded free app on Apple's US App Store over the weekend- a major milestone for any language model to achieve… [+10254 chars],Tech
2025-01-14T22:17:21Z,"The deadline for voting is Friday, February 7, at 11:45 p.m. ET.
The post Voting Is Now Open! Pick The 15 Finalists To Compete At Startup Alley At ABA TECHSHOW 2025 In April appeared first on Above the Law.","With this post, voting is now officially open! Help pick the 15 legal tech startups that will get to compete at the ninth-annual Startup Alley at ABA TECHSHOW, April 2-5, 2025. Your votes determine t… [+189906 chars]",Tech
2025-02-01T01:18:25Z,"Budget 2025 Key Highlights & Updates, Union Budget 2025 Outcomes, New Income Tax Slab Announcements: Here’s all the updates from the Union Budget presented in the Parliament by Finance Minister Nirmala Sitharaman. Find all updates in income tax rates and slab…","<li></li>
February 01, 2025 17:21Budget 2025 Live Updates: M V Rao, Chairman, Indian Banks Association (IBA) &amp; Managing Director &amp; CEO, Central Bank of India, on the Union Budget
Union Budg… [+220472 chars]",Tech
2025-02-06T13:36:03Z,"Welcome to this latest edition of Java Annotated Monthly! As we start 2025, we bring you a roundup of the latest advancements in the world of tech. Stay in the loop with a curated list of must-attend events coming up in February, so you can plan your next lea…","NewsWelcome to this latest edition of Java Annotated Monthly! As we start 2025, we bring you a roundup of the latest advancements in the world of tech. Stay in the loop with a curated list of must-at… [+10330 chars]",Tech
2025-01-20T18:00:56Z,"Contents 
1. Introduction
2. Surveillance
<ul><li>Foreign Intelligence Surveillance Act </li><li>Section 702</li><li>Facial Recognition Technology</li><li>Border Search and Immigration Surveillance</li><li>Surveillance Tech at the Border and the Virtual Wa…","Contents 
1. Introduction
2. Surveillance
2. Encryption and Cybersecurity
4. Consumer Privacy
5. Artificial Intelligence
6. Broadband
7. Section 230
8. Competition
9. Copyright
10. Computer… [+111563 chars]",Tech
2025-01-16T15:54:17Z,"Wall Street pauses Thursday, with stocks little moved in early trade. Strong bank earnings keep rolling in and Senate questions Trump's Treasury pick.","U.S. stocks dipped in early trading, taking a breather after the major stock indexes posted the largest daily percentage gain since Nov. 6 since Nov. 6 on Wednesday, amid cooling inflation and strong… [+3016 chars]",Finance
2025-02-12T01:09:22Z,"Sensex, Nifty updates: India’s benchmark indexes, Nifty 50 and BSE Sensex, fell for the sixth consecutive session, driven by trade war fears and disappointing earnings, with small-cap stocks approaching bear market territory. The Nifty 50 closed down 0.12% at…","<li></li>
February 12, 2025 16:57The live blog is now closed.
<li></li>
February 12, 2025 16:12Share market live today: HPCL, IGX to explore expanding Indias gas consumption
State-run Hindustan P… [+92713 chars]",Finance
2025-01-29T01:12:38Z,"Sensex, Nifty updates on 29 January 2025: On Wednesday, the benchmark indices Sensex and Nifty spiked nearly 1%, driven by strong performances in IT, capital goods, and industrial sectors, aligning with positive global market trends. The Sensex climbed 631.55…","<li></li>
January 29, 2025 16:32The live blog is now closed.
<li></li>
January 29, 2025 16:19Stock market live today: Indias digital transactions surge 94x in volume, led by UPI boom: RBI
Digital… [+107676 chars]",Finance
2025-01-15T01:15:14Z,"Sensex, Nifty updates on 15 January 2024: The benchmark BSE Sensex gained 0.29% to close at 76,724.08, while the broader NSE index rose 0.16% to 23,213.20, driven by energy and IT stocks. However, concerns over slowing earnings growth and caution ahead of key…","<li></li>
January 15, 2025 16:17Stock market updates: The live blog is now closed
<li></li>
January 15, 2025 16:11Currency Market updates: Rupee extends gains, settles 13 paise higher at 86.40 aga… [+83308 chars]",Finance
2025-02-14T01:21:36Z,"Sensex, Nifty updates on 14 February 2025: Indian equity indices fell for the eighth straight session on Friday. The Sensex dropped 199.76 points to 75,939.21, while the Nifty slipped 102.15 points to 22,929.25. Market breadth was weak, with 3,320 stocks decl…","<li></li>
February 14, 2025 16:33Stock market news updates: Manappuram Finance, IIFL Finance shares tumble on weak Q3 results, missing street estimates
Manappuram Finance, IIFL shares tumble 6% low… [+69269 chars]",Finance
2025-01-17T01:11:46Z,"Sensex, Nifty updates 17 January 2025: The BSE Sensex fell 423 points (0.55%) to 76,619.33, while the NSE Nifty 50 dropped 108 points (0.47%) to 23,203.20, marking weekly losses. IT stocks weighed on the indices amid concerns over December quarter earnings qu…","<li></li>
January 17, 2025 15:49Nifty today: Top gainers, losers on the NSE
WhatsApp Image 2025-01-17 at 15.37.07.jpeg
<li></li>
January 17, 2025 15:48Share market live today: Wipro announces 6 i… [+67837 chars]",Finance
2025-02-06T03:49:48Z,"RBI MPC Meeting February 2025, RBI Monetary Policy Committee (MPC) Live news & updates: The Reserve Bank of India’s new Governor, Sanjay Malhotra, is expected to announce a 25 basis points reduction in the repo rate during his inaugural Monetary Policy Commit…","<li></li>
February 07, 2025 08:39RBI Monetary Policy Live: RBI seen cutting rates for first time since May 2020
The Reserve Bank of India is widely expected to cut interest rates for the first time… [+17589 chars]",Finance
2025-01-21T14:00:00Z,"Even though the effect of oil price shocks on macroeconomics has been extensively investigated, the literature on how efficiency in household energy use affect crude oil price volatility is yet explored. This study unveils whether household energy efficiency …","Abstract
Even though the effect of oil price shocks on macroeconomics has been extensively investigated, the literature on how efficiency in household energy use affect crude oil price volatility is… [+47802 chars]",Finance
2025-02-01T01:18:25Z,"Budget 2025 Key Highlights & Updates, Union Budget 2025 Outcomes, New Income Tax Slab Announcements: Here’s all the updates from the Union Budget presented in the Parliament by Finance Minister Nirmala Sitharaman. Find all updates in income tax rates and slab…","<li></li>
February 01, 2025 17:21Budget 2025 Live Updates: M V Rao, Chairman, Indian Banks Association (IBA) &amp; Managing Director &amp; CEO, Central Bank of India, on the Union Budget
Union Budg… [+220472 chars]",Finance
